date(String),item_id(String),title(String),currency_id(String),sales(Int32),price(Double),category_id(String),level1(String),level2(String),level3(String),level4(String),level5(String),level6(String),level7(String)
20191210,MPE418873896,Ampliador De Pantalla 3d Tipo Lupa Con Soporte Para Celular,PEN,1,19,MPE9397,MPE1051,MPE3813,MPE9397,,,,
20191210,MPE427524360,Mouse Inalámbrico Ergonómico Vertical,PEN,1,69,MPE1714,MPE1648,MPE1714,,,,,
20191210,MPE431551678,Pack De 5 Bandas Ligas Elásticas De Resistencia Ejercicios,PEN,1,50,MPE69647,MPE1276,MPE1338,MPE69647,,,,
20191210,MPE433047530,Guantes Para Buceo De Neopreno Grosor 2.5 Mm,PEN,1,80,MPE67839,MPE1276,MPE1277,MPE67839,,,,
20191210,MPE434360725,Remato Correas Gucci De Cuero,PEN,1,50,MPE127803,MPE1430,MPE127751,MPE127803,,,,
20191210,MPE434638445,Lentes Sobrelente Sol Polarizado Magnetico Clips,PEN,1,74.99,MPE127679,MPE1430,MPE3959,MPE127679,,,,
20191210,MPE436661445,Samsung Galaxy A20 A20s / 3gb Ram / 32gb / 6.5 Hd / Tienda,PEN,1,659.49,MPE1055,MPE1051,MPE1055,,,,,
20191210,MPE437540838,"Maquina Desgranadora De Maiz Manual ",PEN,1,240,MPE1512,MPE1499,MPE1512,,,,,
20191210,MPE438025898,Zapatillas Hombre Fila Original Fitness,PEN,1,389,MPE6585,MPE1430,MPE6585,,,,,
20191210,MPE438509447,Mando Para Ps3 Inalambrico,PEN,1,40,MPE58377,MPE1144,MPE116990,MPE11623,MPE39119,MPE122974,MPE58377,
20191210,MPE421891130,Funda Case Anti Impacto Xiaomi Note 5 6 7 A2 Lit Mi 8 Mi9,PEN,1,35,MPE9397,MPE1051,MPE3813,MPE9397,,,,
20191210,MPE424081771,Loreal Tinte Spray Castaño Oscuro Raices Canas Hair Touch Up,PEN,1,60,MPE122793,MPE1246,MPE1263,MPE122793,,,,
20191210,MPE427848621,Mini Camara Espia Sq8 Full Hd 1080p Cubo Oculta,PEN,1,70,MPE4660,MPE1039,MPE4660,,,,,
20191210,MPE429403561,Case Personalizado Samsung iPhone Huawei Carcasas,PEN,1,45,MPE122206,MPE1051,MPE3813,MPE122206,,,,
20191210,MPE429952858,Electroshock Paralizador Defensa 398 Type - Mod Mejorada,PEN,1,45,MPE73592,MPE1574,MPE68126,MPE73592,,,,
20191210,MPE431163317,Pistola De Aire (co2) Heckler & Koch Hk45  4.5 Mm,PEN,1,600,MPE7783,MPE1276,MPE1362,MPE7783,,,,
